Pick #,Tier,Pokemon,Tera Type,Trainer,Team,Abbv,Column 16,Column 14,Option 1,Type 1,Option 2,Type 2,Option 3,Type 3,Option 4,Type 4,Option 5,Type 5,Option 6,Type 6,Option 7,Type 7,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
29,B,Iron Crown,,Miradiongaming,Team 2,2.0,,,Slither Wing,,Haxorus,,Iron Crown,,Porygon2,,Garganacl,,,,,,,,,,,,,,,,
30,B,Primarina,,Mr. Whale,Team 13,13.0,,,M-Heracross,,Primarina,,Togekiss,,Kommo-o,,Entei,,,,,,,,,,,,,,,,
31,B,Klefki,,morgie,Team 4,4.0,,,Klefki,,Duraludon,,M-Abomasnow,,Cinderace,,Porygon-Z,,,,,,,,,,,,,,,,
32,B,Empoleon,,Jihoonaah,Team 6,6.0,,,Terapagos,,Porygon2,,Blaziken,,Empoleon,,Munkidori,,,,,,,,,,,,,,,,
33,A,Rotom-Wash,,verycoolman,Team 11,11.0,,,Buzzwole,,Tornadus-T,,Rotom-Wash,,Roaring Moon,,,,,,,,,,,,,,,,,,
34,B,Munkidori,,Jalapinecone,Team 3,3.0,,,Snorlax,,Munkidori,,Marowak-A,,Tsareena,,Okidogi,,,,,,,,,,,,,,,,
35,S*,,,Mathgeek,Team 10,10.0,,,M-Diancie,,Urshifu-R,,Shaymin-S,,,,,,,,,,,,,,,,,,,,
36,C,Swoobat,Rock,CAMKART100,Team 5,5.0,,,Grumpig,Stellar,Drednaw,Stellar,Klawf,Water,Mr. Rime,Electric,Throh,Dark,Swoobat,Rock,Houndoom,Normal,,,,,,,,,,,
37,C,Staraptor,Dragon,Be. de,Team 14,14.0,,,Staraptor,Dragon,Sawk,Water,Golduck,Ghost,Stantler,Bug,Bibarel,Normal,Eiscue,Rock,Spiritomb,Ghost,,,,,,,,,,,
38,B,M-Aerodactyl,,hoZer,Team 1,1.0,,,Nihilego,,Nidoqueen,,M-Aerodactyl,,Scizor,,Gastrodon,,,,,,,,,,,,,,,,
39,S*,,,Burndt,Team 8,8.0,,,Darkrai,,Gouging Fire,,Shaymin-S,,,,,,,,,,,,,,,,,,,,
40,B,M-Manectric,,Benbo,Team 9,9.0,,,M-Garchomp,,Arcanine-H,,Pecharunt,,Dracozolt,,M-Manectric,,,,,,,,,,,,,,,,
41,B,Ambipom,,MonkeyRanger,Team 12,12.0,,,Dondozo,,M-Swampert,,Reuniclus,,Ambipom,,Hawlucha,,,,,,,,,,,,,,,,
42,B,Venusaur,,MonkeyRanger,Team 12,12.0,,,Nidoking,,Weavile,,Hippowdon,,Mudsdale,,Venusaur,,,,,,,,,,,,,,,,
43,B,Salamence,,Benbo,Team 9,9.0,,,Bronzong,,Xurkitree,,Porygon-Z,,Entei,,Salamence,,,,,,,,,,,,,,,,
44,S,Zekrom,,Burndt,Team 8,8.0,,,Zekrom,,Shaymin-S,,Cresselia,,,,,,,,,,,,,,,,,,,,
45,B,,,hoZer,Team 1,1.0,,,Zarude,,Chandelure,,Espeon,,Rotom-Mow,,Nihilego,,,,,,,,,,,,,,,,
46,B,Iron Jugulis,,fruitlogic,Team 7,7.0,,,Hitmontop,,Reuniclus,,Bronzong,,M-Heracross,,Iron Jugulis,,,,,,,,,,,,,,,,
47,B,Togekiss,,Be. de,Team 14,14.0,,,Toxapex,,Togekiss,,Dracozolt,,Scrafty,,Cyclizar,,,,,,,,,,,,,,,,
48,A,Ogerpon-C,,CAMKART100,Team 5,5.0,,,Ogerpon-C,,Gholdengo,,Regieleki,,Ting-Lu,,,,,,,,,,,,,,,,,,
49,S*,,,Mathgeek,Team 10,10.0,,,Landorus-I,,Shaymin-S,,Tapu Koko,,,,,,,,,,,,,,,,,,,,
50,S*,,,Jalapinecone,Team 3,3.0,,,Zygarde-50,,Giratina-O,,Rayquaza,,,,,,,,,,,,,,,,,,,,
51,B*,,,verycoolman,Team 11,11.0,,,M-Sceptile,,Bronzong,,Zarude,,Zoroark-H,,Cinderace,,,,,,,,,,,,,,,,
52,C*,,,Jihoonaah,Team 6,6.0,,,Stantler,Water,Sandslash-A,Rock,Volbeat,Ground,Kadabra,Rock,Exeggutor,Poison,Sceptile,Electric,Palossand,Grass,,,,,,,,,,,
53,C,Corsola-G,Poison,morgie,Team 4,4.0,,,Mr. Mime-G,Ground,Corsola-G,Poison,Musharna,Ice,Regigigas,Water,Drednaw,Electric,Tentacruel,Dragon,Mabosstiff,Flying,,,,,,,,,,,
54,B,Comfey,,Mr. Whale,Team 13,13.0,,,Hitmontop,,Comfey,,Terapagos,,Hawlucha,,Iron Treads,,,,,,,,,,,,,,,,
55,B*,,,Miradiongaming,Team 2,2.0,,,Qwilfish-H,,Hippowdon,,Bisharp,,Sirfetch'd,,M-Beedrill,,,,,,,,,,,,,,,,
56,B,Maushold,,Miradiongaming,Team 2,2.0,,,Maushold,,Alomomola,,M-Audino,,Hydreigon,,Moltres-G,,,,,,,,,,,,,,,,
57,C,Mr. Mime,Normal,Mr. Whale,Team 13,13.0,,,Uxie,Ice,Zebstrika,Water,Slowbro-G,Stellar,Mr. Mime,Normal,Dugtrio,Stellar,Musharna,Electric,Feraligatr,Dragon,,,,,,,,,,,
58,A,Keldeo,,morgie,Team 4,4.0,,,Thundurus-T,,Dragapult,,Keldeo,,Indeedee-F,,,,,,,,,,,,,,,,,,
59,B,Serperior,,Jihoonaah,Team 6,6.0,,,Cyclizar,,Porygon-Z,,Volcanion,,M-Steelix,,Serperior,,,,,,,,,,,,,,,,
60,B,Mamoswine,,verycoolman,Team 11,11.0,,,Snorlax,,Shaymin,,Scrafty,,Mamoswine,,Houndstone,,,,,,,,,,,,,,,,
61,A,Aegislash,,Jalapinecone,Team 3,3.0,,,M-Scizor,,Aegislash,,Glastrier,,M-Latios,,,,,,,,,,,,,,,,,,
62,S,Rayquaza,,Mathgeek,Team 10,10.0,,,Darkrai,,Giratina-O,,Rayquaza,,,,,,,,,,,,,,,,,,,,
63,C,M-Aggron,,CAMKART100,Team 5,5.0,,,Uxie,Normal,Clawitzer,Rock,Stantler,Dark,M-Aggron,,Wyrdeer,Poison,Bombirdier,Water,Throh,Ice,,,,,,,,,,,
64,C,Swampert,Poison,Be. de,Team 14,14.0,,,Piloswine,Poison,Swampert,Poison,Chesnaught,Normal,Heliolisk,Dragon,Riolu,Fairy,Eiscue,Electric,Exploud,Fairy,,,,,,,,,,,
65,C,Galvantula,Water,fruitlogic,Team 7,7.0,,,Articuno-G,Ground,Galvantula,Water,Virizion,Rock,Chesnaught,Dark,Type: Null,Dragon,Muk-A,Normal,Houndoom,Stellar,,,,,,,,,,,
66,A*,,,hoZer,Team 1,1.0,,,Thundurus-T,,Alakazam,,M-Charizard-X,,Iron Bundle,,,,,,,,,,,,,,,,,,
67,B,Metagross,,Burndt,Team 8,8.0,,,Iron Leaves,,Kommo-o,,Hippowdon,,Runerigus,,Metagross,,,,,,,,,,,,,,,,
68,B,Pecharunt,,Benbo,Team 9,9.0,,,Pecharunt,,Hippowdon,,Polteageist,,Houndstone,,M-Beedrill,,,,,,,,,,,,,,,,
69,C*,,,MonkeyRanger,Team 12,12.0,,,Sliggoo-H,Ghost,Kangaskhan,Normal,Boltund,Water,Hitmonlee,Dark,Xatu,Water,Exploud,Rock,Dachsbun,Bug,,,,,,,,,,,
70,A,Rotom-Heat,,MonkeyRanger,Team 12,12.0,,,Sylveon,,Alakazam,,Rotom-Heat,,Basculegion,,,,,,,,,,,,,,,,,,
71,A,Ogerpon-H,,Benbo,Team 9,9.0,,,Suicune,,Ogerpon-H,,Baxcalibur,,Glastrier,,,,,,,,,,,,,,,,,,
72,B*,,,Burndt,Team 8,8.0,,,M-Audino,,Nidoqueen,,Espathra,,Blacephalon,,Hippowdon,,,,,,,,,,,,,,,,
73,A,Buzzwole,,hoZer,Team 1,1.0,,,Volcarona,,Buzzwole,,Archaludon,,Diancie,,,,,,,,,,,,,,,,,,
74,B,Garganacl,,fruitlogic,Team 7,7.0,,,Clefairy,,Gyarados,,Garganacl,,Enamorus-T,,Vanilluxe,,,,,,,,,,,,,,,,
75,C,Golduck,Water,Be. de,Team 14,14.0,,,Grumpig,Psychic,Klinklang,Fighting,Flamigo,Ice,Hoopa-C,Poison,Electivire,Fire,Golduck,Water,Tauros,Dragon,,,,,,,,,,,
76,C*,,,CAMKART100,Team 5,5.0,,,Tauros-PC,Dragon,Arboliva,Water,Dudunsparce,Dragon,Wartortle,Electric,Tauros,Grass,Trevenant,Dragon,Heliolisk,Rock,,,,,,,,,,,
77,A,Naganadel,,Mathgeek,Team 10,10.0,,,Victini,,Volcarona,,Diancie,,Naganadel,,,,,,,,,,,,,,,,,,
78,S,Tapu Koko,,Jalapinecone,Team 3,3.0,,,Zygarde-50,,Tapu Koko,,Darkrai,,,,,,,,,,,,,,,,,,,,
79,B*,,,verycoolman,Team 11,11.0,,,Araquanid,,Toxapex,,Barraskewda,,Rotom-Mow,,Blastoise,,,,,,,,,,,,,,,,
80,A,M-Latios,,Jihoonaah,Team 6,6.0,,,Roaring Moon,,M-Scizor,,Thundurus-I,,M-Latios,,,,,,,,,,,,,,,,,,
81,B*,,,morgie,Team 4,4.0,,,Quaquaval,,Haxorus,,Blastoise,,Terrakion,,Blissey,,,,,,,,,,,,,,,,
82,C*,,,Mr. Whale,Team 13,13.0,,,Magneton,Psychic,Frosmoth,Electric,Togedemaru,Bug,Hitmonchan,Flying,Aurorus,Fire,Stoutland,Poison,Copperajah,Dark,,,,,,,,,,,
83,A*,,,Miradiongaming,Team 2,2.0,,,M-Latias,,Iron Moth,,Latios,,Darmanitan-G,,,,,,,,,,,,,,,,,,
84,A*,,,Miradiongaming,Team 2,2.0,,,Sylveon,,M-Pinsir,,Victini,,Garchomp,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
