Dex,Pokemon,Type Icon I,Type Icon II,Sprite,Raw (Showdown),Image,Raw (Serebii),Current Team,Current Trainer,Tier,Games GP,W,L,WR,KDA K,D,+/-,Damage Dmg Dealt,Dmg Taken,Dmg Diff,Dmg Ratio,Column 103,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Season 1 Team,Exceptions,Exception Only,Column 78,Mold Breaker Weaknesses Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,Column 77,Weaknesses + Only Unoptional Exceptions Normal1,Fire1,Water1,Electric1,Grass1,Ice1,Fighting1,Poison1,Ground1,Flying1,Psychic1,Bug1,Rock1,Ghost1,Dragon1,Dark1,Steel1,Fairy1,Column 98,Weaknesses + All Exceptions Normal2,Fire2,Water2,Electric2,Grass2,Ice2,Fighting2,Poison2,Ground2,Flying2,Psychic2,Bug2,Rock2,Ghost2,Dragon2,Dark2,Steel2,Fairy2,Column 79,Showdown Gen 5 Link,Serebii New,Serebii Link,Raw (Pokemon DB),DBLink,Backup DBLink,Blank
8,Wartortle,,,,wartortle,,008,,,C,,,,,,,,,,,,,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,,0,-2,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/wartortle.png,https://www.serebii.net/scarletviolet/pokemon/new/008.png,https://www.serebii.net/pokemon/art/008.png,wartortle,https://img.pokemondb.net/artwork/large/wartortle.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/wartortle.png,
9,M-Blastoise,,,,blastoise-mega,,009-m,,,A,,,,,,,,,,,,,79,103,120,135,115,78,630,Water,,Mega Launcher,,,,0,-1,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/blastoise-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/009-m.png,https://www.serebii.net/pokemon/art/009-m.png,blastoise-mega,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/blastoise-mega.png,
9,Blastoise,,,,blastoise,,009,,,B,,,,,,,,,,,,,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,,0,-2,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/blastoise.png,https://www.serebii.net/scarletviolet/pokemon/new/009.png,https://www.serebii.net/pokemon/art/009.png,blastoise,https://img.pokemondb.net/artwork/large/blastoise.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/blastoise.png,
10,Caterpie,,,,caterpie,,010,,,Z,,,,,,,,,,,,,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,,0,-2,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/caterpie.png,https://www.serebii.net/scarletviolet/pokemon/new/010.png,https://www.serebii.net/pokemon/art/010.png,caterpie,https://img.pokemondb.net/artwork/large/caterpie.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/caterpie.png,
11,Metapod,,,,metapod,,011,,,Z,,,,,,,,,,,,,50,20,55,25,25,30,205,Bug,,Shed Skin,,,,0,-1,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/metapod.png,https://www.serebii.net/scarletviolet/pokemon/new/011.png,https://www.serebii.net/pokemon/art/011.png,metapod,https://img.pokemondb.net/artwork/large/metapod.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/metapod.png,
12,Butterfree,,,,butterfree,,012,,,C,,,,,,,,,,,,,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,,0,-2,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/butterfree.png,https://www.serebii.net/scarletviolet/pokemon/new/012.png,https://www.serebii.net/pokemon/art/012.png,butterfree,https://img.pokemondb.net/artwork/large/butterfree.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/butterfree.png,
13,Weedle,,,,weedle,,013,,,Z,,,,,,,,,,,,,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,,0,-2,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/weedle.png,https://www.serebii.net/scarletviolet/pokemon/new/013.png,https://www.serebii.net/pokemon/art/013.png,weedle,https://img.pokemondb.net/artwork/large/weedle.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/weedle.png,
14,Kakuna,,,,kakuna,,014,,,Z,,,,,,,,,,,,,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,,0,-1,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/kakuna.png,https://www.serebii.net/scarletviolet/pokemon/new/014.png,https://www.serebii.net/pokemon/art/014.png,kakuna,https://img.pokemondb.net/artwork/large/kakuna.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/kakuna.png,
15,M-Beedrill,,,,beedrill-mega,,015-m,,,B,,,,,,,,,,,,,65,150,40,15,80,145,495,Bug,Poison,Adaptability,,,,0,-1,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/beedrill-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/015-m.png,https://www.serebii.net/pokemon/art/015-m.png,beedrill-mega,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/beedrill-mega.png,
15,Beedrill,,,,beedrill,,015,,,Z,,,,,,,,,,,,,65,90,40,45,80,75,395,Bug,Poison,Swarm,,Sniper,,0,-2,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/beedrill.png,https://www.serebii.net/scarletviolet/pokemon/new/015.png,https://www.serebii.net/pokemon/art/015.png,beedrill,https://img.pokemondb.net/artwork/large/beedrill.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/beedrill.png,
16,Pidgey,,,,pidgey,,016,,,Z,,,,,,,,,,,,,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0,-3,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/pidgey.png,https://www.serebii.net/scarletviolet/pokemon/new/016.png,https://www.serebii.net/pokemon/art/016.png,pidgey,https://img.pokemondb.net/artwork/large/pidgey.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/pidgey.png,
17,Pidgeotto,,,,pidgeotto,,017,,,Z,,,,,,,,,,,,,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0,-3,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/pidgeotto.png,https://www.serebii.net/scarletviolet/pokemon/new/017.png,https://www.serebii.net/pokemon/art/017.png,pidgeotto,https://img.pokemondb.net/artwork/large/pidgeotto.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/pidgeotto.png,
18,M-Pidgeot,,,,pidgeot-mega,,018-m,,,C,,,,,,,,,,,,,83,80,80,135,80,121,579,Normal,Flying,No Guard,,,,0,-1,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/pidgeot-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/018-m.png,https://www.serebii.net/pokemon/art/018-m.png,pidgeot-mega,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/pidgeot-mega.png,
18,Pidgeot,,,,pidgeot,,018,,,Z,,,,,,,,,,,,,83,80,75,70,70,101,479,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,0,-3,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/pidgeot.png,https://www.serebii.net/scarletviolet/pokemon/new/018.png,https://www.serebii.net/pokemon/art/018.png,pidgeot,https://img.pokemondb.net/artwork/large/pidgeot.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/pidgeot.png,
19,Rattata-A,,,,rattata-alola,,019-a,,,Z,,,,,,,,,,,,,30,56,35,25,35,72,253,Dark,Normal,Gluttony,Hustle,Thick Fat,,1,-2,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/rattata-alola.png,https://www.serebii.net/scarletviolet/pokemon/new/019-a.png,https://www.serebii.net/pokemon/art/019-a.png,rattata,https://img.pokemondb.net/artwork/large/rattata.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/rattata.png,
19,Rattata,,,,rattata,,019,,,Z,,,,,,,,,,,,,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/rattata.png,https://www.serebii.net/scarletviolet/pokemon/new/019.png,https://www.serebii.net/pokemon/art/019.png,rattata-alolan,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/rattata-alolan.png,
20,Raticate-A,,,,raticate-alola,,020-a,,,Z,,,,,,,,,,,,,75,71,70,40,80,77,413,Dark,Normal,Gluttony,Hustle,Thick Fat,,1,-2,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/raticate-alola.png,https://www.serebii.net/scarletviolet/pokemon/new/020-a.png,https://www.serebii.net/pokemon/art/020-a.png,raticate,https://img.pokemondb.net/artwork/large/raticate.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/raticate.png,
20,Raticate,,,,raticate,,020,,,Z,,,,,,,,,,,,,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,,0,-3,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/raticate.png,https://www.serebii.net/scarletviolet/pokemon/new/020.png,https://www.serebii.net/pokemon/art/020.png,raticate-alolan,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/raticate-alolan.png,
21,Spearow,,,,spearow,,021,,,Z,,,,,,,,,,,,,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,,0,-2,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/spearow.png,https://www.serebii.net/scarletviolet/pokemon/new/021.png,https://www.serebii.net/pokemon/art/021.png,spearow,https://img.pokemondb.net/artwork/large/spearow.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/spearow.png,
22,Fearow,,,,fearow,,022,,,Z,,,,,,,,,,,,,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,,0,-2,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/fearow.png,https://www.serebii.net/scarletviolet/pokemon/new/022.png,https://www.serebii.net/pokemon/art/022.png,fearow,https://img.pokemondb.net/artwork/large/fearow.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/fearow.png,
23,Ekans,,,,ekans,,023,,,Z,,,,,,,,,,,,,35,60,44,40,54,55,288,Poison,,Intimidate,Shed Skin,Unnerve,,0,-3,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/ekans.png,https://www.serebii.net/scarletviolet/pokemon/new/023.png,https://www.serebii.net/pokemon/art/023.png,ekans,https://img.pokemondb.net/artwork/large/ekans.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/ekans.png,
24,Arbok,,,,arbok,,024,,,Z,,,,,,,,,,,,,60,95,69,65,79,80,448,Poison,,Intimidate,Shed Skin,Unnerve,,0,-3,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/arbok.png,https://www.serebii.net/scarletviolet/pokemon/new/024.png,https://www.serebii.net/pokemon/art/024.png,arbok,https://img.pokemondb.net/artwork/large/arbok.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/arbok.png,
